state,column,ballotPosition,surname,ballotGivenName,groupName,partyBallotName
QLD,M,2,DILLON,Gregory,Animal Justice Party,Animal Justice Party
QLD,N,1,LUSH,Katie,Family First,Family First
QLD,N,2,FULLER,Karen,Family First,Family First
QLD,O,1,JONES,Belinda,Legalise Cannabis Party,Legalise Cannabis Party
QLD,O,2,LINDSAY,Melody,Legalise Cannabis Party,Legalise Cannabis Party
QLD,P,1,WATERS,Larissa,The Greens,The Greens
QLD,P,2,SIDHU,Navdeep Singh,The Greens,The Greens
QLD,P,3,GARTON,Claire,The Greens,The Greens
QLD,P,4,COX,Jennifer,The Greens,The Greens
QLD,P,5,McARDLE,Melissa,The Greens,The Greens
QLD,P,6,KENNEDY,Kirsten,The Greens,The Greens
QLD,Q,1,ROBERTS,Malcolm,Pauline Hanson's One Nation,Pauline Hanson's One Nation
QLD,Q,2,COURT,Geena,Pauline Hanson's One Nation,Pauline Hanson's One Nation
QLD,R,1,MARTIN,Rhett,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
QLD,R,2,HONNIBALL,Ross,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
QLD,S,1,WILLMOTT,Jim,Libertarian,Libertarian
QLD,S,2,LADE,Lachlan,Libertarian,Libertarian
QLD,UG,1,HOLMES,Gilbert,,Independent
QLD,UG,2,DONOHUE,Danny,,Independent
QLD,UG,3,WONG,Duke,,Independent
QLD,UG,4,BROWN,Jason,,Independent
SA,A,1,GREEN,Tyler Bradley,Libertarian,Libertarian
SA,A,2,VAN RAALTE,Jacob Nicholas,Libertarian,Libertarian
SA,B,1,ADAMSON AGARS,Imelda,FUSION | Planet Rescue | Whistleblower Protection | Innovation,FUSION | Planet Rescue | Whistleblower Protection | Innovation
SA,B,2,WOLFENDALE,Drew,FUSION | Planet Rescue | Whistleblower Protection | Innovation,FUSION | Planet Rescue | Whistleblower Protection | Innovation
SA,C,1,ANTIC,Alex,Liberal,Liberal
SA,C,2,RUSTON,Anne,Liberal,Liberal
SA,C,3,FAWCETT,David,Liberal,Liberal
SA,C,4,WYLD,Damian,Liberal,Liberal
SA,D,1,SMITH,Marielle,Australian Labor Party,Australian Labor Party
SA,D,2,GROGAN,Karen,Australian Labor Party,Australian Labor Party
SA,D,3,WALKER,Charlotte,Australian Labor Party,Australian Labor Party
SA,D,4,ALLISON,Jennifer,Australian Labor Party,Australian Labor Party
SA,E,1,BRAY,Frankie,Animal Justice Party,Animal Justice Party
SA,E,2,PASTRO,Julie,Animal Justice Party,Animal Justice Party
SA,F,1,PATRICK,Rex,Jacqui Lambie Network,Jacqui Lambie Network
SA,F,2,FORDHAM,Anne Elizabeth,Jacqui Lambie Network,Jacqui Lambie Network
SA,G,1,SMELTZ,Nicole,Trumpet of Patriots,Trumpet of Patriots
SA,G,2,DAY,Bob,Trumpet of Patriots,Trumpet of Patriots
SA,G,3,REA,Antonio,Trumpet of Patriots,Trumpet of Patriots
